'text','language_code','translation','translation_language_code','cefr','topic'
'a.m.','en','утро','ru','a1',
'about','en','о','ru','a1',
'above','en','выше','ru','a1',
'action','en','действие','ru','a1',
'activity','en','активность','ru','a1',
'actor','en','актер','ru','a1',
'add','en','добавлять','ru','a1',
'address','en','адрес','ru','a1',
'afraid','en','испуганный','ru','a1',
'after','en','после','ru','a1',
'afternoon','en','полдень','ru','a1',
'again','en','снова','ru','a1',
'age','en','возраст','ru','a1',
'ago','en','назад','ru','a1',
'agree','en','соглашаться','ru','a1',
'airplane','en','самолет','ru','a1',
'airport','en','аэропорт','ru','a1',
'album','en','альбом','ru','a1',
'all','en','все','ru','a1',
'all right','en','все в порядке','ru','a1',
'almost','en','почти','ru','a1',
'alone','en','один','ru','a1',
'along','en','вдоль','ru','a1',
'already','en','уже','ru','a1',
'also','en','также','ru','a1',
'always','en','всегда','ru','a1',
'am','en','являюсь','ru','a1',
'an','en','а','ru','a1',
'and','en','и','ru','a1',
'angry','en','злой','ru','a1',
'animal','en','животное','ru','a1',
'another','en','другой','ru','a1',
'answer','en','отвечать','ru','a1',
'any','en','любой','ru','a1',
'anybody','en','кто-нибудь','ru','a1',
'anyone','en','любой','ru','a1',
'anything','en','что-либо','ru','a1',
'apple','en','яблоко','ru','a1',
'April','en','апрель','ru','a1',
'apron','en','фартук','ru','a1',
'are','en','являются','ru','a1',
'arm','en','рука','ru','a1',
'around','en','вокруг','ru','a1',
'arrive','en','приезжать','ru','a1',
'art','en','искусство','ru','a1',
'article','en','статья','ru','a1',
'as','en','как','ru','a1',
'ask','en','просить','ru','a1',
'at','en','в','ru','a1',
'August','en','Август','ru','a1',
'aunt','en','тетя','ru','a1',
'autumn','en','осень','ru','a1',
'awake','en','бодрствующий','ru','a1',
'away','en','прочь','ru','a1',
'baby','en','малыш','ru','a1',
'back','en','назад','ru','a1',
'bad','en','плохой','ru','a1',
'bag','en','сумка','ru','a1',
'ball','en','мяч','ru','a1',
'banana','en','банан','ru','a1',
'band','en','группа','ru','a1',
'bank','en','банк','ru','a1',
'bar','en','бар','ru','a1',
'baseball','en','бейсбол','ru','a1',
'basketball','en','баскетбол','ru','a1',
'bat','en','летучая мышь','ru','a1',
'bath','en','ванна','ru','a1',
'bathroom','en','ванная комната','ru','a1',
'be','en','быть','ru','a1',
'beach','en','пляж','ru','a1',
'bean','en','боб','ru','a1',
'bear','en','медведь','ru','a1',
'beautiful','en','красивый','ru','a1',
'because','en','потому что','ru','a1',
'become','en','становиться','ru','a1',
'bed','en','кровать','ru','a1',
'bedroom','en','спальня','ru','a1',
'bee','en','пчела','ru','a1',
'beef','en','говядина','ru','a1',
'before','en','до','ru','a1',
'begin','en','начинать','ru','a1',
'behind','en','позади','ru','a1',
'believe','en','полагать','ru','a1',
'bell','en','колокол','ru','a1',
'below','en','ниже','ru','a1',
'beside','en','рядом','ru','a1',
'best','en','лучший','ru','a1',
'better','en','лучше','ru','a1',
'between','en','между','ru','a1',
'bicycle','en','велосипед','ru','a1',
'big','en','большой','ru','a1',
'bike','en','велосипед','ru','a1',
'bird','en','птица','ru','a1',
'birth','en','рождение','ru','a1',
'birthday','en','день рождения','ru','a1',
'biscuit','en','бисквит','ru','a1',
'black','en','черный','ru','a1',
'blank','en','пустой','ru','a1',
'block','en','блокировать','ru','a1',
'blow','en','дуть','ru','a1',
'blue','en','синий','ru','a1',
'board','en','доска','ru','a1',
'boat','en','лодка','ru','a1',
'body','en','тело','ru','a1',
'bone','en','кость','ru','a1',
'book','en','книга','ru','a1',
'bookstore','en','книжный магазин','ru','a1',
'boring','en','скучный','ru','a1',
'borrow','en','занимать','ru','a1',
'both','en','оба','ru','a1',
'bottle','en','бутылка','ru','a1',
'bottom','en','нижний','ru','a1',
'bowl','en','чаша','ru','a1',
'box','en','коробка','ru','a1',
'boy','en','мальчик','ru','a1',
'boyfriend','en','парень','ru','a1',
'brain','en','мозг','ru','a1',
'bread','en','хлеб','ru','a1',
'break','en','перерыв','ru','a1',
'breakfast','en','завтрак','ru','a1',
'breathe','en','дышать','ru','a1',
'bridge','en','мост','ru','a1',
'bright','en','яркий','ru','a1',
'bring','en','приносить','ru','a1',
'broken','en','сломанный','ru','a1',
'brother','en','брат','ru','a1',
'brown','en','коричневый','ru','a1',
'brush','en','щетка','ru','a1',
'bucket','en','ведро','ru','a1',
'build','en','строить','ru','a1',
'building','en','здание','ru','a1',
'burger','en','бургер','ru','a1',
'bus','en','автобус','ru','a1',
'business','en','бизнес','ru','a1',
'busy','en','занятый','ru','a1',
'but','en','но','ru','a1',
'butter','en','масло','ru','a1',
'butterfly','en','бабочка','ru','a1',
'button','en','кнопка','ru','a1',
'buy','en','купить','ru','a1',
'by','en','к','ru','a1',
'bye','en','пока','ru','a1',
'cafe/café','en','кафе/кофе','ru','a1',
'cake','en','торт','ru','a1',
'call','en','вызов','ru','a1',
'camera','en','камера','ru','a1',
'camp','en','лагерь','ru','a1',
'can','en','может','ru','a1',
'candy','en','конфеты','ru','a1',
'cap','en','кепка','ru','a1',
'car','en','машина','ru','a1',
'card','en','карта','ru','a1',
'care','en','забота','ru','a1',
'careful','en','осторожный','ru','a1',
'carefully','en','осторожно','ru','a1',
'carry','en','нести','ru','a1',
'cartoon','en','мультфильм','ru','a1',
'case','en','случай','ru','a1',
'cat','en','кот','ru','a1',
'catch','en','ловить','ru','a1',
'CD','en','компакт-диск','ru','a1',
'CD player','en','CD-плеер','ru','a1',
'celebrate','en','праздновать','ru','a1',
'celebration','en','праздник','ru','a1',
'chair','en','стул','ru','a1',
'change','en','изменять','ru','a1',
'character','en','характер','ru','a1',
'check','en','проверять','ru','a1',
'cheese','en','сыр','ru','a1',
'chicken','en','курица','ru','a1',
'child','en','ребенок','ru','a1',
'chocolate','en','шоколад','ru','a1',
'choose','en','выбирать','ru','a1',
'church','en','церковь','ru','a1',
'cinema','en','кино','ru','a1',
'circle','en','круг','ru','a1',
'city','en','город','ru','a1',
'class','en','сорт','ru','a1',
'classmate','en','одноклассник','ru','a1',
'classroom','en','класс','ru','a1',
'clean','en','чистый','ru','a1',
'clever','en','умный','ru','a1',
'climb','en','взбираться','ru','a1',
'clock','en','часы','ru','a1',
'close','en','закрывать','ru','a1',
'closed','en','закрыто','ru','a1',
'cloth','en','ткань','ru','a1',
'clothes','en','одежда','ru','a1',
'cloud','en','облако','ru','a1',
'cloudy','en','пасмурно','ru','a1',
'club','en','клуб','ru','a1',
'coach','en','тренер','ru','a1',
'coat','en','пальто','ru','a1',
'code','en','код','ru','a1',
'coffee','en','кофе','ru','a1',
'coke','en','кокс','ru','a1',
'cold','en','холодный','ru','a1',
'collect','en','собирать','ru','a1',
'collection','en','коллекция','ru','a1',
'college','en','колледж','ru','a1',
'color','en','цвет','ru','a1',
'come','en','приходить','ru','a1',
'computer','en','компьютер','ru','a1',
'concert','en','концерт','ru','a1',
'contest','en','конкурс','ru','a1',
'conversation','en','беседа','ru','a1',
'cook','en','готовить','ru','a1',
'cookie','en','печенье','ru','a1',
'cool','en','прохладный','ru','a1',
'cop','en','полицейский','ru','a1',
'copy','en','копировать','ru','a1',
'corn','en','кукуруза','ru','a1',
'corner','en','угол','ru','a1',
'correct','en','правильный','ru','a1',
'couch','en','диван','ru','a1',
'could','en','мог','ru','a1',
'course','en','курс','ru','a1',
'cousin','en','двоюродный брат','ru','a1',
'cover','en','крышка','ru','a1',
'cow','en','корова','ru','a1',
'cream','en','крем','ru','a1',
'credit card','en','кредитная карта','ru','a1',
'cry','en','плакать','ru','a1',
'culture','en','культура','ru','a1',
'cup','en','чашка','ru','a1',
'cut','en','резать','ru','a1',
'cute','en','милый','ru','a1',
'dad','en','папа','ru','a1',
'daddy','en','папочка','ru','a1',
'dance','en','танцевать','ru','a1',
'dancing','en','танцы','ru','a1',
'dark','en','темный','ru','a1',
'date','en','дата','ru','a1',
'daughter','en','дочь','ru','a1',
'day','en','день','ru','a1',
'dear','en','дорогой','ru','a1',
'December','en','декабрь','ru','a1',
'delicious','en','вкусный','ru','a1',
'describe','en','описывать','ru','a1',
'design','en','дизайн','ru','a1',
'desk','en','рабочий стол','ru','a1',
'dictionary','en','словарь','ru','a1',
'did','en','делал','ru','a1',
'difference','en','разница','ru','a1',
'different','en','другой','ru','a1',
'difficult','en','трудный','ru','a1',
'dig','en','копать','ru','a1',
